Key,Value(s),Description,Required
archinstall-language,See ``archinstall/locales/languages.json``,Sets the TUI language used *(make sure to use the ``lang`` value not the ``abbr``)*,No
locale_config,{kb_layout: `lang <https://wiki.archlinux.org/title/Linux_console/Keyboard_configuration>`__!, sys_enc: `Character encoding <https://wiki.archlinux.org/title/Locale>`_!, sys_lang: `locale <https://wiki.archlinux.org/title/Locale>`_},Defines the keyboard key map!, system encoding and system locale,No
mirror_config,{custom_mirrors: [ https://... ]!, mirror_regions: { "Worldwide": [ "https://geo.mirror.pkgbuild.com/$repo/os/$arch" ] } },Sets various mirrors *(defaults to ISO's ``/etc/pacman.d/mirrors`` if not defined)*,No
bootloader_config,"{ bootloader: `Systemd-boot <https://wiki.archlinux.org/title/Systemd-boot>`_!, `grub <https://wiki.archlinux.org/title/GRUB>`_!, `limine <https://wiki.archlinux.org/title/Limine>`_!, uki: ``true``/``false``!, removable: ``true``/``false`` }","Bootloader configuration. ``bootloader`` selects which bootloader to install *(grub/limine mandatory on BIOS)*. ``uki`` enables unified kernel images *(UEFI only!,  systemd-boot/limine only)*. ``removable`` installs to default removable media path /EFI/BOOT/ instead of NVRAM *(UEFI only!, grub/limine only)*",Yes
disk_config,*Read more under* :ref:`disk config`,Contains the desired disk setup to be used during installation,No
swap,"``true``/``false`` or { enabled: ``true``/``false``!, algorithm: ``zstd``/``lzo-rle``/``lzo``/``lz4``/``lz4hc`` }","Enables or disables zram swap. Can be a boolean or object with algorithm choice",No
kernels,[ `linux <https://wiki.archlinux.org/title/Kernel#Officially_supported_kernels>`_!, `linux-hardened <https://wiki.archlinux.org/title/Kernel#Officially_supported_kernels>`_!, `linux-lts <https://wiki.archlinux.org/title/Kernel#Officially_supported_kernels>`_!, `linux-rt <https://wiki.archlinux.org/title/Kernel#Officially_supported_kernels>`_!, `linux-rt-lts <https://wiki.archlinux.org/title/Kernel#Officially_supported_kernels>`_!, `linux-zen <https://wiki.archlinux.org/title/Kernel#Officially_supported_kernels>`_ ],Defines which kernels should be installed and setup in the boot loader options,Yes
kernel_headers,``true``!, ``false``,Installs kernel headers for the selected kernels,No
profile_config,*`read more under the profiles section`*,Installs a given profile if defined,No
hostname,``str``,A string defining your machines hostname on the network *(defaults to ``archlinux``)*,No
auth_config,"{ lock_root_account: ``true``/``false``!, privilege_escalation: ``sudo``/``doas`` }","Authentication preferences (passwords/users are never stored!, always prompted)",No
app_config,"{ audio_config: { audio: ``pipewire``/``pulseaudio`` }!, bluetooth_config: { enabled: ``true``/``false`` }!, ... }","Application configuration including audio!, bluetooth!, power management!, firewall!, editor!, etc.",No
network_config,*`see options under Network Configuration`*,Sets which type of *(if any)* network configuration should be used,No
parallel_downloads,0-∞,sets a given number of parallel downloads to be used by `pacman <https://wiki.archlinux.org/title/Pacman#Enabling_parallel_downloads>`_,No
timezone,`timezone <https://wiki.archlinux.org/title/System_time#Time_zone>`_,sets a timezone for the installed system,No
ntp,``true``!, ``false``,enables or disables `NTP <https://wiki.archlinux.org/title/Network_Time_Protocol_daemon>`_ during installation,No
packages,[ <package1>!, <package2>!, ... ],A list of packages to install during installation,No
services,[ <service1>!, <service2>!, ... ],A list of systemd services to enable after installation,No
custom_commands,*Read more under* :ref:`custom commands`,Custom commands that will be run post-install chrooted inside the installed system,No
script,``guided`` *(default)*!, ``minimal``!, ``only_hdd``!, ``list``,Script to run for installation,No
